Date,Open,High,Low,Close,Adj Close,Volume
2020-09-30,77.150002,78.489998,76.760002,77.309998,77.309998,719900
2020-10-01,78.500000,78.900002,77.400002,78.519997,78.519997,488800
2020-10-02,77.459999,78.489998,77.379997,77.779999,77.779999,363200
2020-10-05,79.320000,80.870003,79.309998,80.769997,80.769997,441900
2020-10-06,75.889999,77.430000,75.110001,75.830002,75.830002,1657500
2020-10-07,76.610001,76.790001,75.900002,76.300003,76.300003,309300
2020-10-08,76.959999,77.389999,76.790001,77.010002,77.010002,352700
2020-10-09,78.400002,79.660004,78.250000,79.540001,79.540001,322000
2020-10-12,80.279999,81.739998,80.070000,81.220001,81.220001,416000
2020-10-13,80.959999,81.199997,80.320000,80.650002,80.650002,451900
2020-10-14,81.180000,81.230003,80.000000,80.150002,80.150002,289500
2020-10-15,79.320000,79.989998,78.669998,79.779999,79.779999,314200
2020-10-16,80.550003,80.879997,79.790001,79.830002,79.830002,296800
2020-10-19,80.540001,80.849998,79.410004,80.029999,80.029999,748400
2020-10-20,93.779999,95.709999,90.900002,92.639999,92.639999,7572900
2020-10-21,92.959999,95.169998,91.809998,92.190002,92.190002,1931700
2020-10-22,92.180000,92.379997,88.379997,89.089996,89.089996,1166400
2020-10-23,88.360001,88.500000,86.820000,88.019997,88.019997,820700
2020-10-26,85.580002,87.169998,85.010002,85.830002,85.830002,1118200
2020-10-27,88.220001,88.300003,86.870003,87.040001,87.040001,667300
2020-10-28,85.550003,85.870003,84.629997,85.580002,85.580002,985300
2020-10-29,87.250000,87.290001,85.019997,85.059998,85.059998,646100
2020-10-30,85.099998,85.190002,83.349998,84.650002,84.650002,635000
2020-11-02,84.779999,85.389999,84.000000,85.080002,85.080002,488600
2020-11-03,86.769997,88.470001,86.290001,88.139999,88.139999,545400
2020-11-04,87.830002,89.989998,87.809998,89.669998,89.669998,571400
2020-11-05,92.870003,94.339996,92.330002,93.690002,93.690002,695600
2020-11-06,93.620003,94.580002,93.139999,93.940002,93.940002,530300
2020-11-09,83.830002,84.010002,75.120003,75.919998,75.919998,5070900
2020-11-10,79.900002,80.180000,75.940002,78.129997,78.129997,2928600
2020-11-11,82.349998,83.809998,81.250000,82.849998,82.849998,1413300
2020-11-12,83.169998,83.500000,81.010002,81.849998,81.849998,896300
2020-11-13,82.739998,83.599998,81.720001,83.160004,83.160004,853400
2020-11-16,81.050003,83.480003,80.860001,82.919998,82.919998,635000
2020-11-17,81.919998,82.379997,80.510002,80.930000,80.930000,650800
2020-11-18,82.029999,82.050003,80.230003,81.059998,81.059998,841800
2020-11-19,82.400002,84.080002,81.779999,83.790001,83.790001,721900
2020-11-20,82.989998,84.480003,82.739998,83.720001,83.720001,626200
2020-11-23,83.940002,83.970001,81.220001,81.449997,81.449997,668100
2020-11-24,81.120003,82.669998,80.779999,82.550003,82.550003,665700
2020-11-25,83.230003,86.050003,83.209999,85.940002,85.940002,1062900
2020-11-27,85.949997,87.150002,85.440002,86.949997,86.949997,543700
2020-11-30,88.970001,90.360001,87.699997,90.305000,90.305000,1021216
